業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	export/import ラウンドトリップ互換	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	エビデンスディレクトリ規約	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	比較不一致はステップ失敗	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	プラグイン接続情報のグループ名参照	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	リモートテスト適用	外部システム	テスト対象ホスト群	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	ログ・ファイル収集（scp/ssh）	外部システム	テスト対象ホスト群	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	ログフィルタ転送・実行	外部システム	logfilter（ログ収集 OSS）	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	k6テスト実行	外部システム	grafana k6	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	テスト対象データストア接続	外部システム	テスト対象データストア（MySQL / PostgreSQL / Redis）	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	ファイル比較実行	外部システム	compare-files（ファイル比較 OSS）	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	sshExec のリモートスクリプト一括実行	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	scpPut の原子的配置	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	プラグインのランタイム依存宣言と存在チェック	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	リモートスクリプト一括実行（ssh）	外部システム	テスト対象ホスト群	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	ローカルファイル原子的配置（scp）	外部システム	テスト対象ホスト群	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	invoke エビデンス HTML レポート生成の優先順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	config の ${...} 環境変数展開（stfw.yml 値参照）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	順序保証・エラー時停止のもとで実行結果を得る	""	""	""	""	アクター	テスト実行者	指定したシナリオ群が業務日付順・連番順に自動実行され、データ準備（Arrange）・取引入力（Act）・エビデンス収集（Collect）・期待値比較（Assert）までが人手を介さず反復される。回帰テストモードでは途中Error（on_mismatch: error（既定）の比較不一致によるステップ失敗を含む）時に後続を実行せず停止するため、再現性と信頼性のあるテスト結果を得られる。機能変更の差分確認モードでは比較不一致等をWarnとして記録して最後まで実行を進められ、CIではstfw runの終了コード（全Success=0 / Warnあり・Errorなし=3 / Errorあり=6）で「差分あり」を検知できる。部分実行（--from: 失敗したrunの途中からの再開 / --only: 特定ノードのピンポイント実行）により、全体を先頭から再実行せずにやり直し・動作確認ができる（スキップしたノードの副作用（データ投入等）の再現はユーザー責務）	受益者
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	情報	OTel トレース（スパンツリー）	""	""	実行ジャーナル（journal.jsonl）のイベントの投影として、runをルートにscenario/bizdate/process/stepを子孫とするスパンツリーがOTLP受信先へ送信され、既存のオブザーバビリティ基盤（Jaeger/Grafana Tempo/Datadog等）でそのまま進捗・成否・所要時間を可視化・分析できる（送信先未設定時は送信せず、送信失敗は実行を失敗させない）。WarnはOTelのスパンステータスに相当が無い（Ok / Error / Unsetのみ）ため、スパンステータスOk + stfwのstatus属性（Warn）として投影される（Errorは従来どおりスパンステータスError）	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	情報	ステップ実行結果	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	条件	スパンステータス・属性マップ	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	条件	OTel エクスポート先未設定時の送信抑制	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	条件	OTel エクスポート失敗の非致命扱い	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	画面	実行状況通知ビュー	アクター	テスト結果確認者	""	受益者
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	イベント	実行トレース送信	外部システム	OTLP 受信先（OpenTelemetry Collector / 互換バックエンド）	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	statusで実行状況を確認する	""	実行状況を確認する	情報	実行ジャーナル（journal.jsonl）	""	""	stfw status [run_id]で実行ジャーナルをリプレイし、階層ツリーと各階層・ステップのステータスを表示する（digdag Web UI・ログ追従（run -f）・attempt URL案内による確認は廃止）。Warnステータスは黄系の色で表示される。旧バージョンのrunのジャーナル（Warnなし）が混在してもエラーなく表示される	""
テスト結果確認業務	実行結果監視・確認フロー	""	statusで実行状況を確認する	""	実行状況を確認する	情報	実行（run）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	statusで実行状況を確認する	""	実行状況を確認する	画面	実行状況確認CLI	アクター	テスト結果確認者	""	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	情報	HTML レポート	""	""	stfw report [run_id]で実行ジャーナルから静的HTMLレポート（.stfw/reports/にindex + run詳細）を生成する。実行中もprocess終了ごとに増分再生成され、Docker Compose構成ではnginxがreports共有volumeを配信し、ブラウザ（http://localhost:8080）で準リアルタイムに閲覧できる。Warnステータスは黄系の色で表示され、どのシナリオ・どのプロセスでWarn（比較NG）が発生したかを一覧で鳥瞰できる（「比較NGの鳥瞰」ビュー）。旧バージョンのrunのジャーナル（Warnなし）が混在しても再生成は壊れない。run開始時のハウスキープで保存期間を過ぎたHTMLレポート（.stfw/reports/runs/{run_id}.html）は物理削除され、削除に伴いレポートindexが再生成される（削除済みrunはindexに残らない）	""
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	情報	実行（run）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	画面	レポート生成CLI	アクター	テスト結果確認者	""	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	条件	実行結果ハウスキープ	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	レポート・ログで失敗箇所を調査する	""	""	""	""	アクター	テスト結果確認者	HTMLレポートとstderrへのシークレットマスキング済み構造化ログで実行詳細を確認し、失敗箇所を特定する（レポート・ログ閲覧。ファイルログ（.stfw/stfw.log）は要求撤回により存在しない）	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	失敗原因に応じてシナリオ・スクリプトを修正する	""	""	""	""	アクター	シナリオ作成者	調査結果をもとにテストスクリプト・設定・シナリオ構造を修正する（システム外作業: エディタ）	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	情報	実行（run）	""	""	修正済みシナリオをstfw runで再実行し、失敗からの回復を確認する。失敗したrunのやり直しには部分実行 --from {bizdate_dir}[/{process_dir}]（途中からの再開）を利用でき、先頭からの全体再実行に加えて途中再開を選択できる（スキップしたノードの副作用の再現はユーザー責務）	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	情報	シナリオ	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	情報	実行コンテキスト	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	条件	run 実行の前提条件	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	条件	run_id の採番・保持	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run 終了コードの集約（0/3/6）	""	""	stfw run の終了コードは配下の実行ステータスから全 Success=0 / Warn あり（Error なし）=3 / Error あり=6 として集約され、CI では終了コードだけで「差分あり（Warn）」を検知できる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	条件	実行ステータス集約（Error > Warn > Success）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	実行ステータス集約（Error > Warn > Success）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	statusで実行状況を確認する	""	実行状況を確認する	条件	Warn ステータスの後方互換（旧ジャーナル混在）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	条件	Warn ステータスの後方互換（旧ジャーナル混在）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	部分実行の指定制約	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	条件	部分実行のスキップ意味論	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	部分実行のスキップ意味論	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	parallel 子プロセスの並走実行	""	""	""	""
